category	FROM	TO	evidence	source
TF-miRNA	TRIM32	hsa-let-7e	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7f	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7g	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7i	Experimental	PMID20584335
TF-miRNA	TWIST1	hsa-mir-199a	Experimental	PMID20584335
TF-miRNA	TWIST1	hsa-mir-214	Experimental	PMID20584335
TF-miRNA	VHL	hsa-mir-210	Experimental	PMID20584335
TF-miRNA	YY1	hsa-mir-29a	Experimental	PMID20584335
TF-miRNA	YY1	hsa-mir-29b	Experimental	PMID20584335
TF-miRNA	YY1	hsa-mir-29c	Experimental	PMID20584335
TF-miRNA	ZEB1	hsa-mir-141	Experimental	PMID20584335
TF-miRNA	ZEB1	hsa-mir-200a	Experimental	PMID20584335
TF-miRNA	ZEB1	hsa-mir-200b	Experimental	PMID20584335
TF-miRNA	ZEB1	hsa-mir-200c	Experimental	PMID20584335
TF-miRNA	ZEB1	hsa-mir-429	Experimental	PMID20584335
TF-miRNA	ZEB1	hsa-mir-8	Experimental	PMID20584335
TF-miRNA	ZEB2	hsa-mir-141	Experimental	PMID20584335
TF-miRNA	ZEB2	hsa-mir-200a	Experimental	PMID20584335
TF-miRNA	ZEB2	hsa-mir-200b	Experimental	PMID20584335
TF-miRNA	ZEB2	hsa-mir-200c	Experimental	PMID20584335
TF-miRNA	ZEB2	hsa-mir-429	Experimental	PMID20584335
TF-miRNA	ZEB2	hsa-mir-8	Experimental	PMID20584335
TF-miRNA	EGR3	hsa-mir-195	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-let-7a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-let-7b	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-let-7c	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-let-7d	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-let-7i	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-15b	Experimental	PMID20584335
