gene	specific tissue
RP5-1198O20.5	Adrenal Gland
RP11-61D1.2	Esophagus - Mucosa
RNU2-60P	Testis
RP11-609N14.1	Testis
RP11-370I10.4	Testis
AP000647.3	Testis
RP11-498P14.4	Testis
RP11-925D8.3	Whole Blood
RP11-925D8.2	Whole Blood
AP001891.1	Testis
RP11-925D8.6	Whole Blood
RP11-925D8.5	Whole Blood
KB-1183D5.9	Testis
RP11-730N24.1	Testis
RP11-63K6.1	Skin - Not Sun Exposed (Suprapubic)
RP11-63K6.7	Testis
RP11-63K6.5	Testis
H2BFWT	Testis
RP11-701I24.3	Testis
OR5V1	Testis
RP11-233G1.4	Testis
RNA5SP323	Cells - EBV-transformed lymphocytes
SPERT	Testis
ACTRT1	Testis
ACTRT2	Testis
RP11-165H23.1	Testis
RP11-433J22.3	Kidney - Cortex
RP11-368P15.1	Testis
ADAM18	Testis
RP11-941H19.1	Testis
PPP1R2P2	Testis
PPP1R2P5	Brain - Cerebellum
PPP1R2P6	Testis
LINC00364	Testis
LINC00366	Testis
LINC00362	Testis
LINC00363	Testis
RP11-129H15.4	Testis
RP11-321E2.12	Testis
RP11-321E2.13	Testis
RP1-190J20.2	Testis
RP11-744J10.3	Testis
COX11P1	Testis
AC004988.1	Lung
FAM170B-AS1	Testis
RP11-145A3.4	Skin - Sun Exposed (Lower leg)
RP11-46E17.6	Testis
KCNQ5-AS1	Testis
RN7SL820P	Lung
RP11-462P6.1	Testis
RP11-145O15.2	Nerve - Tibial
DUSP21	Testis
RP11-698N11.2	Pituitary
RP11-807H22.7	Spleen
RP11-807H22.6	Spleen
RP1-45I4.2	Testis
AC019330.1	Colon - Transverse
RP11-204E4.3	Testis
RP11-109A6.2	Testis
RPSAP4	Cells - EBV-transformed lymphocytes
MACROD2-AS1	Testis
KIRREL-IT1	Testis
RP11-77M5.1	Testis
RPSAP8	Cells - EBV-transformed lymphocytes
RP11-370P15.2	Testis
RP11-463M16.5	Testis
AC073082.3	Testis
MIR4263	Adrenal Gland
AC012065.4	Adrenal Gland
RP11-307F22.2	Testis
RP11-397H6.1	Testis
RP11-215E13.2	Testis
RP11-405K6.1	Testis
RP11-54D18.3	Testis
AC004824.2	Whole Blood
RP4-749H3.2	Testis
SNORD91A	Ovary
RP11-437L7.1	Pituitary
VN1R53P	Breast - Mammary Tissue
TP53	Breast - Mammary Tissue
TGFB1	Breast - Mammary Tissue
E2F3	Breast - Mammary Tissue
CTD-2233C11.2	Testis
AC025016.1	Testis
LINC00572	Testis
RPL13AP3	Testis
CABP5	Whole Blood
RP11-258B16.1	Testis
RN7SL620P	Testis
RP11-274K13.5	Testis
AC007204.1	Thyroid
AC020595.1	Testis
RP11-10F11.2	Testis
WBP11P1	Testis
RP11-272D20.2	Testis
RP11-417J1.1	Testis
CAPNS1P1	Esophagus - Mucosa
CTC-499B15.7	Testis
RP11-138E16.1	Testis
RP3-340N1.6	Testis
RP11-165M1.3	Testis
RP11-165M1.2	Testis
IGKV2-18	Spleen
AL360004.1	Colon - Sigmoid
LINC00266-3	Testis
RP11-438D8.2	Testis
MRPL42P6	Ovary
MRPL42P2	Spleen
CTD-2350J17.1	Testis
RP11-80H5.6	Testis
MTND5P8	Testis
OR5P1P	Skin - Not Sun Exposed (Suprapubic)
RP11-379C10.1	Testis
RP11-71H9.1	Testis
RP11-420K14.7	Testis
RP11-539E19.2	Testis
AC004911.2	Testis
RP4-813D12.2	Testis
RP11-340E6.2	Testis
RP11-1437A8.4	Testis
RP11-1437A8.6	Testis
ALOX15P2	Testis
RBAKDN	Testis
ARGFXP1	Fallopian Tube
TUSC7	Testis
RP11-330L19.2	Testis
AC098973.2	Testis
AC098973.1	Testis
IZUMO2	Testis
IZUMO3	Testis
RP4-583K8.1	Testis
OR51J1	Brain - Cerebellum
AC104451.2	Testis
RP11-667K14.5	Cells - EBV-transformed lymphocytes
RIMBP3B	Testis
CTD-2179L22.1	Brain - Spinal cord (cervical c-1)
GAGE2D	Testis
GAGE2E	Testis
GAGE2A	Testis
AC007091.1	Testis
GAGE2C	Testis
LPP-AS1	Testis
MIR421	Brain - Cerebellum
CTC-436K13.3	Testis
RP5-1018K9.1	Kidney - Cortex
RP1-37N7.2	Testis
RPL36AP39	Testis
C16orf97	Testis
SNORA2B	Cells - EBV-transformed lymphocytes
C16orf90	Testis
D87024.1	Spleen
RP11-242J7.1	Spleen
CTD-2623N2.5	Testis
NAV2-IT1	Cells - Transformed fibroblasts
RP11-3G20.1	Testis
RP11-3G20.2	Testis
RP11-1134I14.2	Testis
UNC93B2	Spleen
UNC93B6	Spleen
AC017074.1	Testis
RP11-882G5.1	Muscle - Skeletal
RP11-390D11.2	Testis
RP11-71E19.5	Testis
GOLGA6L16P	Testis
AP000357.4	Testis
RP11-386B13.3	Testis
RP11-386B13.1	Testis
RP11-402G3.4	Testis
RP11-402G3.3	Testis
RP11-807E13.2	Testis
AC007563.4	Cervix - Endocervix
RP11-491H19.1	Testis
AC007563.1	Testis
NDUFA5P10	Stomach
RP11-2E17.2	Liver
RP11-292B1.2	Testis
RP11-5P4.1	Testis
CTD-2116N24.1	Testis
AC102948.2	Testis
OR1D2	Testis
CIAPIN1P	Testis
CTB-78H18.1	Testis
RP11-99H8.1	Testis
CYorf17	Testis
RP11-707O23.5	Testis
