Ppfibp1	Ywhae	0.081
Lactb2	Pgls	0.081
Gale	Pgls	0.081
Fus	Rara	0.21
Dnm1L	Foxp3	0.126
Ppp1Cb	Rb1	0.126
Dab2	Ywhae	0.081
Aadac	Pgls	0.081
Hsd3B7	Rpl7A	0.081
Anxa2	Ywhae	0.081
Cyp4F14	Ywhae	0.081
Eed	Lrpprc	0.126
Hsd3B7	Prpf19	0.081
Hadh	Pgls	0.081
Sod3	Ywhae	0.081
Clgn	Gsg1	0.126
Psma1	Zfand2B	0.21
Arid1A	Sall4	0.236
Btk	Ighmbp2	0.183
Arl6Ip5	Reep3	0.126
Tst	Ywhae	0.081
Hba	Prdx2	0.21
Dpp4	Ywhae	0.081
Eed	Sfxn1	0.126
Ezh2	Tgm1	0.126
Pycrl	Ywhaz	0.081
Gas1	Shh	0.376
Coq6	Ywhae	0.081
Atp5B	Fbxo32	0.126
Gpd1	Ywhaz	0.081
Cdk9	Ilf3	0.126
Cep290	F13B	0.236
Acadm	Ywhae	0.081
Cd5L	Fasn	0.21
Rpgrip1L	Syn2	0.126
Hsp90Ab1	Nphp1	0.236
Per1	Timeless	0.702
Clock	Cry2	0.597
Fdxr	Ywhae	0.081
Ogt	Ubc	0.21
Akr1A1	Dlg4	0.236
Tceb2	Wsb1	0.309
Mrpl9	Ywhae	0.081
Mtx2	Ywhae	0.081
Nkx2-2	Tle3	0.21
Taf10	Tfcp2L1	0.126
Ipo5	Ywhae	0.081
Lyst	Ywhae	0.081
Rgs10	Ywhae	0.081
Mef2C	Nkx2-5	0.376
Rfwd2	Trib1	0.21
Cript	Ryr1	0.183
Hmga2	Tubb6	0.126
Eed	Tufm	0.126
Pgls	Tufm	0.081
Hspa1A	Nphp4	0.126
Myh9	Trpm7	0.332
Gabpa	Gabpb1	0.523
Rac2	Ywhae	0.081
Kif5A	Kif5B	0.61
Hmbox1	Nhp2	0.21
Ndel1	Nefh	0.507
Rxra	Trim24	0.623
Hspb2	Ywhae	0.081
Brox	Ywhae	0.081
Hsd3B4	Pdzk1	0.081
Hsd3B4	Q9Cws5	0.081
Ndrg1	Ywhae	0.081
Aco1	Pgls	0.081
Map3K5	Spag9	0.21
Cul1	Wwtr1	0.21
Hsd3B4	Ndufc2	0.081
Cacybp	S100A1	0.454
Cyb5R3	Hsd3B4	0.081
Atm	Foxp3	0.126
Sept8	Stat2	0.183
