mirna	specific process
hsa-mir-196a	Human embryonic stem cell (hESC) regulation
hsa-mir-199a	Human embryonic stem cell (hESC) regulation
hsa-mir-199b	Human embryonic stem cell (hESC) regulation
hsa-mir-200	Human embryonic stem cell (hESC) regulation
hsa-mir-200c	Human embryonic stem cell (hESC) regulation
hsa-mir-203	Human embryonic stem cell (hESC) regulation
hsa-mir-20a	Human embryonic stem cell (hESC) regulation
hsa-mir-21	Human embryonic stem cell (hESC) regulation
hsa-mir-210	Human embryonic stem cell (hESC) regulation
hsa-mir-214	Human embryonic stem cell (hESC) regulation
hsa-mir-218	Human embryonic stem cell (hESC) regulation
hsa-mir-221	Human embryonic stem cell (hESC) regulation
hsa-mir-222	Human embryonic stem cell (hESC) regulation
hsa-mir-223	Human embryonic stem cell (hESC) regulation
hsa-mir-24	Human embryonic stem cell (hESC) regulation
hsa-mir-25	Human embryonic stem cell (hESC) regulation
hsa-mir-26a	Human embryonic stem cell (hESC) regulation
hsa-mir-26b	Human embryonic stem cell (hESC) regulation
hsa-mir-278	Human embryonic stem cell (hESC) regulation
hsa-mir-27a	Human embryonic stem cell (hESC) regulation
hsa-mir-290	Human embryonic stem cell (hESC) regulation
hsa-mir-291	Human embryonic stem cell (hESC) regulation
hsa-mir-294	Human embryonic stem cell (hESC) regulation
hsa-mir-295	Human embryonic stem cell (hESC) regulation
hsa-mir-296	Human embryonic stem cell (hESC) regulation
hsa-mir-302a	Human embryonic stem cell (hESC) regulation
hsa-mir-302b	Human embryonic stem cell (hESC) regulation
hsa-mir-302c	Human embryonic stem cell (hESC) regulation
hsa-mir-302d	Human embryonic stem cell (hESC) regulation
hsa-mir-309	Human embryonic stem cell (hESC) regulation
hsa-mir-30b	Human embryonic stem cell (hESC) regulation
hsa-mir-30c	Human embryonic stem cell (hESC) regulation
hsa-mir-31	Human embryonic stem cell (hESC) regulation
hsa-mir-322	Human embryonic stem cell (hESC) regulation
hsa-mir-323	Human embryonic stem cell (hESC) regulation
hsa-mir-326	Human embryonic stem cell (hESC) regulation
hsa-mir-34	Human embryonic stem cell (hESC) regulation
hsa-mir-346	Human embryonic stem cell (hESC) regulation
hsa-mir-34a	Human embryonic stem cell (hESC) regulation
hsa-mir-367	Human embryonic stem cell (hESC) regulation
hsa-mir-369	Human embryonic stem cell (hESC) regulation
hsa-mir-371	Human embryonic stem cell (hESC) regulation
hsa-mir-372	Human embryonic stem cell (hESC) regulation
hsa-mir-373	Human embryonic stem cell (hESC) regulation
hsa-mir-379	Human embryonic stem cell (hESC) regulation
hsa-mir-427	Human embryonic stem cell (hESC) regulation
hsa-mir-429	Human embryonic stem cell (hESC) regulation
