mirna	specific process
mmu-mir-18	Hormones regulation
mmu-mir-18a	Hormones regulation
mmu-mir-18b	Hormones regulation
mmu-mir-199	Hormones regulation
mmu-mir-19a	Hormones regulation
mmu-mir-19b	Hormones regulation
mmu-mir-206	Hormones regulation
mmu-mir-208a	Hormones regulation
mmu-mir-208b	Hormones regulation
mmu-mir-20a	Hormones regulation
mmu-mir-20b	Hormones regulation
mmu-mir-21	Hormones regulation
mmu-mir-212	Hormones regulation
mmu-mir-22	Hormones regulation
mmu-mir-221	Hormones regulation
mmu-mir-222	Hormones regulation
mmu-mir-223	Hormones regulation
mmu-mir-23a	Hormones regulation
mmu-mir-23b	Hormones regulation
mmu-mir-24	Hormones regulation
mmu-mir-25	Hormones regulation
mmu-mir-27a	Hormones regulation
mmu-mir-27b	Hormones regulation
mmu-mir-296	Hormones regulation
mmu-mir-29a	Hormones regulation
mmu-mir-29b	Hormones regulation
mmu-mir-29c	Hormones regulation
mmu-mir-30d	Hormones regulation
mmu-mir-34	Hormones regulation
mmu-mir-346	Hormones regulation
mmu-mir-363	Hormones regulation
mmu-mir-375	Hormones regulation
mmu-mir-449	Hormones regulation
mmu-mir-484	Hormones regulation
mmu-mir-499	Hormones regulation
mmu-mir-690	Hormones regulation
mmu-mir-7	Hormones regulation
mmu-mir-9	Hormones regulation
mmu-mir-92a	Hormones regulation
mmu-mir-93	Hormones regulation
mmu-mir-98	Hormones regulation
mmu-mir-106a	Human embryonic stem cell (hESC) regulation
mmu-mir-106b	Human embryonic stem cell (hESC) regulation
mmu-mir-10a	Human embryonic stem cell (hESC) regulation
mmu-mir-122	Human embryonic stem cell (hESC) regulation
mmu-mir-124a	Human embryonic stem cell (hESC) regulation
mmu-mir-125a	Human embryonic stem cell (hESC) regulation
mmu-mir-125b	Human embryonic stem cell (hESC) regulation
mmu-mir-126	Human embryonic stem cell (hESC) regulation
mmu-mir-128	Human embryonic stem cell (hESC) regulation
mmu-mir-132	Human embryonic stem cell (hESC) regulation
mmu-mir-133	Human embryonic stem cell (hESC) regulation
mmu-mir-134	Human embryonic stem cell (hESC) regulation
