gene	specific tissue
4930442H23Rik	Testis
Erich6b	Testis
1700058P15Rik	Testis
Olfm5	Frontal Lobe
4933411O13Rik	Testis
4930407G08Rik	Testis
Gm22154	Placenta
Snord111	Whole Brain
Gm13942	Testis
Gm6117	Testis
Gm13941	Testis
Ighv6-7	Spleen
Ifnl2	Adrenal Gland
Gm15083	Cerebellum
1700025C18Rik	Testis
Gm25820	Central Nervous System
Gm11725	Thymus
Gm11722	Bladder
Gm23553	Placenta
Gm14139	Placenta
4930596D02Rik	Testis
Gm15669	Testis
Gm12364	Testis
Gm25694	Cerebellum
Gm15880	Spleen
Gm15391	Testis
Gm12167	Heart
Gm15398	Testis
Gm11542	Cerebellum
Gm17227	Testis
Kcnk18	Ovary
Gm8247	Frontal Lobe
Plac8l1	Testis
Prss23os	Testis
Gm15247	Central Nervous System
Timm8a2	Testis
Gm16440	Central Nervous System
1700019A02Rik	Testis
Ssxb6	Testis
Ssxb2	Testis
AY512915	Ovary
Gm16280	Testis
Gm12708	Spleen
Gm12440	Testis
4930556L07Rik	Testis
4930480G23Rik	Testis
Gm13388	Placenta
Pabpc6	Testis
Samd7	Testis
Gm13547	Testis
Gm13016	Frontal Lobe
Gm12018	Testis
Gm15866	Bladder
1700019E08Rik	Testis
Fer1l5	Testis
4930588K23Rik	Testis
Rnu12	Cerebellum
E130111B04Rik	Cerebellum
1700025N21Rik	Testis
Cd209e	Mammary Gland
4933416E03Rik	Testis
Gm436	Bladder
4930542C12Rik	Testis
4930448H16Rik	Testis
Bsph2	Genital Adipose
Gm7257	Placenta
Bsph1	Genital Adipose
Trbv23	Thymus
Trbv20	Thymus
Mir433	Limb
Dnah14	Testis
Ccdc70	Testis
Actrt1	Testis
Adam34	Testis
Gm5105	Heart
Adam30	Testis
Gm10840	Testis
Gm15890	Testis
Adam39	Testis
Trav21-dv12	Thymus
Heatr4	Testis
Saxo1	Testis
Gm10629	Testis
Heatr9	Testis
1700034E13Rik	Testis
Ptchd3	Testis
4930551O13Rik	Testis
Ankrd7	Testis
Lyg1	Stomach
Omt2b	Ovary
Omt2a	Ovary
Adgrg4	Kidney
Ccdc7b	Testis
Olfr279	Testis
Ccdc7a	Testis
Gm4907	Testis
Olfr275	Testis
4833427F10Rik	Bladder
Nlrp9c	Ovary
Mir320	Cortex
4933406M09Rik	Testis
Oog4	Ovary
Oog3	Ovary
Skint10	Thymus
4921508M14Rik	Testis
Crygb	Ovary
Gm10710	Central Nervous System
Gm7073	Testis
4930548H24Rik	Testis
Crygd	Central Nervous System
Gm6811	Testis
Tas2r137	Central Nervous System
Gm23301	Placenta
4930435E12Rik	Testis
Spata31	Testis
4930555F03Rik	Testis
AU016765	Ovary
Olfr127	Testis
Olfr654	Testis
Cep112os1	Testis
Olfr128	Testis
4930480E11Rik	Testis
Rab11fip4os2	Testis
Gm14920	Testis
Krtap7-1	Whole Brain
1700021F07Rik	Testis
Gm26130	Liver
4930465K10Rik	Testis
Gm15522	Testis
Gm15523	Spleen
C87499	Ovary
Olfr1196	Liver
Olfr1197	Liver
Ccdc42os	Testis
Gm9877	Testis
Scarna9	Placenta
Fhad1os2	Cortex
4931406B18Rik	Testis
